ROWNUM;ShortName;AdmArea;District;PostalCode;Address;ChiefName;ChiefPosition;ChiefGender;ChiefPhone;PublicPhone;Fax;Email;CloseFlag;CloseReason;CloseDate;ReopenDate;PaidServicesInfo;FreeServicesInfo;WorkingHours;ClarificationOfWorkingHours;Specialization;BeneficialDrugPrescriptions;ExtraInfo;AddressUNOM;Point X;Point Y;GLOBALID;
52;"ГБУЗ ГП № 19 филиал № 2 ДЗМ";"Юго-Восточный административный округ";"район Люблино";"109451";"Армавирская улица, дом 2/20";"Бойко Валерий Иванович";"исполняющий обязанности заведующего филиалом";"мужской";"(495) 359-13-47";"(495) 359-37-65";"";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.752965";"55.675978";"84269290";
53;"ГБУЗ ГП № 19 филиал № 3 ДЗМ";"Юго-Восточный административный округ";"район Люблино";"109559";"Краснодарская улица, дом 63";"Корнилов Алексей Александрович";"заведующий филиалом";"мужской";"(495) 352-08-33";"(495) 352-06-92";"(495) 358-33-81";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.771718";"55.676778";"84269291";
54;"ГБУЗ ГП № 191 ДЗМ";"Восточный административный округ";"район Гольяново";"107065";"Алтайская улица, дом 13";"Соколова Мария Валерьяновна";"главный врач";"женский";"(495) 460-36-34";"(495) 460-01-01";"(495) 460-36-34";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.818006";"55.820691";"84269292";
55;"ГБУЗ ГП № 191 филиал № 1 ДЗМ";"Восточный административный округ";"район Гольяново";"107207";"Чусовская улица, дом 9";"Почечуева Марина Владимировна";"заведующий филиалом";"женский";"(495) 467-69-10";"(495) 467-69-10";"(495) 467-69-10";"";"действует";"";"";"";"отсутствуют";"отсутствуют";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.811283";"55.813597";"84269293";
56;"ГБУЗ ГП № 191 филиал № 2 ДЗМ";"Восточный административный округ";"район Северное Измайлово";"105484";"Сиреневый бульвар, дом 71А";"Алексеева Сабина Рауфовна";"заведующий филиалом";"женский";"(495) 468-12-48";"(495) 468-12-16";"(495) 468-12-48";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.826613";"55.805202";"84269294";
57;"ГБУЗ ГП № 191 филиал № 3 ДЗМ";"Восточный административный округ";"район Измайлово";"105043";"7-я Парковая улица, дом 8/61";"Антоненко Владимир Петрович";"заведующий филиалом";"мужской";"(499) 367-61-81";"(499) 367-61-81";"(499) 367-61-81";"";"действует";"";"";"";"отсутствуют";"отсутствуют";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.794469";"55.793824";"84269295";
58;"ГБУЗ ГП № 191 филиал № 4 ДЗМ";"Восточный административный округ";"район Гольяново";"107241";"Амурская улица, дом 36";"Мазурова Светлана Федоровна";"заведующий филиалом";"женский";"(495) 462-02-02";"(495) 462-02-02";"(495) 642-02-02";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота выходной; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.779775";"55.812501";"84269296";
59;"ГБУЗ ГП № 195 ДЗМ";"Западный административный округ";"район Крылатское";"121614";"улица Крылатские Холмы, дом 51";"Фуфаев Евгений Николаевич";"главный врач";"мужской";"(495) 413-25-24";"(495) 413-25-24";"(495) 413-25-24";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.412017";"55.763763";"84269297";
60;"ГБУЗ ГП № 195 филиал № 1 ДЗМ";"Западный административный округ";"район Кунцево";"121500";"посёлок Рублево, Советская улица, дом 2, строение 1";"Фоменко Александр Валентинович";"заведующий филиалом";"мужской";"(499) 727-12-28";"(499) 727-12-28";"(499) 727-12-28";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота выходной; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.352601";"55.784194";"84269298";
61;"ГБУЗ ГП № 195 филиал № 5 ДЗМ";"Западный административный округ";"район Филёвский Парк";"121601";"Филевский бульвар, дом 18";"Гордиенко Наталья Николаевна";"заместитель главного врача";"женский";"(495) 738-49-60";"(499) 145-10-74; (495) 738-48-85";"(495) 738-49-00";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.47868";"55.763899";"84269299";
62;"ГБУЗ ГП № 195 филиал № 2 ДЗМ";"Западный административный округ";"район Кунцево";"121355";"Молодогвардейская улица, дом 40, корпус 1";"Кузнецов Сергей Владимирович";"заведующий филиалом";"мужской";"(499) 141-40-90";"(499) 141-40-90";"(499) 141-40-90";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.414308";"55.734569";"84269300";
63;"ГБУЗ ГП № 195 филиал № 3 ДЗМ";"Западный административный округ";"район Кунцево";"121355";"Молодогвардейская улица, дом 20, строение 1";"Гусаренко Сергей Александрович";"заведующий филиалом";"мужской";"(499) 141-31-60";"(499) 141-31-60";"(499) 141-31-60";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 07:30-20:00; вторник 07:30-20:00; среда 07:30-20:00; четверг 07:30-20:00; пятница 07:30-20:00; суббота 08:30-18:00; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.421901";"55.734178";"84269301";
64;"ГБУЗ ГП № 195 филиал № 4 ДЗМ";"Западный административный округ";"Можайский район";"121596";"улица Маршала Неделина, дом 2";"Фатеев Александр Иванович";"заведующий филиалом";"мужской";"(495) 448-05-15";"(495) 446-30-37";"(495) 448-05-15";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.401682";"55.723304";"84269302";
65;"ГБУЗ ГП № 66 филиал № 3 ДЗМ";"Восточный административный округ";"район Косино-Ухтомский";"111621";"Красносолнечная улица, дом 40А";"Фарутина Алла Геннадьевна";"заведующий филиалом";"женский";"(495) 700-01-20";"(495) 700-01-20";"";"";"действует";"";"";"";"отсутствуют";"отсутствуют";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.84668";"55.715987";"84269303";
66;"ГБУЗ ГП № 201 ДЗМ";"Зеленоградский административный округ";"район Крюково";"124575";"город Зеленоград, корпус 911";"Михайличенко Павел Николаевич";"главный врач";"мужской";"(499) 210-34-15";"(499) 210-34-15";"(499) 210-25-73";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.184449";"55.985222";"84269304";
67;"ГБУЗ ГП № 201 филиал № 1 ДЗМ";"Зеленоградский административный округ";"район Матушкино";"124498";"город Зеленоград, корпус 225, строение 1";"Маркина Елена Владимировна";"заведующий филиалом";"женский";"(499) 736-02-38";"(499) 736-02-38";"(499) 735-55-80";"info@gp152.mosgorzdrav.ru";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.204197";"56.000887";"84269305";
68;"ГБУЗ ГП № 201 филиал № 2 ДЗМ";"Зеленоградский административный округ";"район Крюково";"124617";"город Зеленоград, корпус 1460";"Агеев Сергей Владимирович";"заведующий филиалом";"мужской";"(499) 717-02-55";"(499) 717-02-55";"";"";"действует";"";"";"";"отсутствуют";"отсутствуют";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота выходной; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.163853";"55.984594";"84269306";
69;"ГБУЗ ГП № 202 ДЗМ";"Западный административный округ";"район Раменки";"119991";"улица Ленинские Горы, дом 1, строение 53";"Васильева Алла Евгеньевна";"исполняющий обязанности главного врача";"женский";"(495) 939-20-72";"(495) 939-20-72; (495) 939-00-21";"(495) 939-00-30";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота выходной; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.534049";"55.696592";"84269307";
70;"ГБУЗ ДКЦ № 1 филиал № 4 ДЗМ";"Юго-Западный административный округ";"район Тёплый Стан";"117513";"улица Академика Бакулева, дом 18";"Гудиев Черси Гарсолтович";"главный врач";"мужской";"(495) 438-40-70";"(495) 438-40-70";"";"";"действует";"";"";"";"отсутствуют";"отсутствуют";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота выходной; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.477021";"55.640898";"84269308";
71;"ГБУЗ ДКЦ № 1 филиал № 5 ДЗМ";"Юго-Западный административный округ";"район Коньково";"117647";"Профсоюзная улица, дом 111А";"Ермолаева Татьяна Игоревна";"заведующий филиалом";"женский";"(495) 420-31-33";"(495) 420-19-22";"(495) 420-06-11";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.522514";"55.63166";"84269309";
72;"ГБУЗ ГП № 66 филиал № 4 ДЗМ";"Восточный административный округ";"район Новокосино";"111672";"Новокосинская улица, дом 42";"Добуляк Людмила Михайловна";"главный врач";"женский";"(495) 701-76-55";"(495) 702-32-31";"";"";"действует";"";"";"";"отсутствуют";"отсутствуют";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.875022";"55.742636";"84269310";
73;"ГБУЗ КДП № 121 филиал № 6 ДЗМ";"Юго-Западный административный округ";"район Южное Бутово";"117042";"улица Академика Семенова, дом 13, корпус 1";"Черевко Галина Алексеевна";"заведующий филиалом";"женский";"(495) 715-37-01";"(495) 715-78-18";"(495) 715-37-01";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 08:00-18:00; воскресенье 08:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.507092";"55.541153";"84269311";
74;"ГБУЗ ГП № 209 ДЗМ";"Западный административный округ";"район Раменки";"119607";"улица Раменки, дом 29";"Мочалов Владимир Иванович";"главный врач";"мужской";"(495) 931-60-00";"(495) 931-60-00";"(495) 932-11-22";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.49134";"55.688705";"84269312";
75;"ГБУЗ ГП № 209 филиал № 40 ДЗМ";"Западный административный округ";"район Фили-Давыдково";"121352";"Кременчугская улица, дом 7, корпус 1";"Зизекалова Ольга Владимировна";"заведующий филиалом";"женский";"(499) 445-03-78";"(499) 445-03-78";"(499) 233-27-67";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.462435";"55.721612";"84269313";
76;"ГБУЗ ГП № 209 филиал № 140 ДЗМ";"Западный административный округ";"район Раменки";"119330";"Мосфильмовская улица, дом 29А";"Кумалагова Зоя Ильинична";"заведующий филиалом";"женский";"(499) 143-34-51";"(499) 143-34-51";"(499) 143-34-51";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.513705";"55.712125";"84269314";
77;"ГБУЗ ГП № 209 филиал № 158 ДЗМ";"Западный административный округ";"район Очаково-Матвеевское";"119501";"Веерная улица, дом 36, корпус 11";"Смирнова Валентина Александровна";"заведующий филиалом";"женский";"(495) 441-74-56";"(499) 737-75-70; (495) 441-10-20";"(495) 441-74-56";"";"действует";"";"";"";"прохождение медкомиссии на оружие , мед. освидетельствование на право управления автотранспортными средствами, прохождение медкомиссии для трудоустройства";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.478647";"55.712341";"84269315";
78;"ГБУЗ ГП № 210 ДЗМ";"Южный административный округ";"район Москворечье-Сабурово";"115211";"Каширское шоссе, дом 57, корпус 1";"Винокуров Владимир Геннадьевич";"главный врач";"мужской";"(495) 344-65-68";"(495) 344-65-68";"(495) 344-65-71";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.695536";"55.637487";"84269316";
79;"ГБУЗ ГП № 210 филиал № 1 ДЗМ";"Южный административный округ";"район Братеево";"115211";"улица Борисовские Пруды, дом 12, корпус 4";"Грузд Анатолий Давыдович";"главный врач";"мужской";"(495) 344-65-68";"(495) 341-82-29";"(495) 340-29-97";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.742512";"55.633769";"84269317";
80;"ГБУЗ ГП № 210 филиал № 2 ДЗМ";"Южный административный округ";"район Братеево";"115211";"Алма-Атинская улица, дом 3, корпус 3";"Винокуров Владимир Геннадьевич";"главный врач";"мужской";"(495) 344-65-68";"(495) 341-37-18";"";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.772058";"55.642208";"84269318";
81;"ГБУЗ ГП № 210 филиал № 3 ДЗМ";"Южный административный округ";"район Москворечье-Сабурово";"115409";"Кошкина улица, дом 21";"Гончарова Наталья Георгиевна";"заведующий филиалом";"женский";"(495) 320-30-22";"(495) 320-30-22";"(499) 324-21-12";"";"действует";"";"";"";"оказываются";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.673676";"55.638764";"84269319";
82;"ГБУЗ ГП № 212 ДЗМ";"Западный административный округ";"район Солнцево";"119620";"Солнцевский проспект, дом 11А";"Пиддэ Ольга Васильевна";"главный врач";"женский";"(495) 934-23-55";"(495) 934-23-55";"(495) 934-23-55";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.404169";"55.648475";"84269320";
83;"ГБУЗ ГП № 212 филиал № 1 ДЗМ";"Западный административный округ";"район Ново-Переделкино";"119634";"улица Скульптора Мухиной, дом 14";"Гобеджашвили Спартак Дмитриевич";"заведующий филиалом";"мужской";"(495) 733-82-78";"(495) 733-82-78";"(495) 733-82-78";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.340182";"55.638882";"84269321";
84;"ГБУЗ ГП № 212 филиал № 2 ДЗМ";"Западный административный округ";"район Солнцево";"119620";"Солнцевский проспект, дом 8";"Гришаева Ирина Васильевна";"заведующий филиалом";"женский";"(495) 435-22-41";"(495) 435-22-41";"";"";"действует";"";"";"";"отсутствуют";"отсутствуют";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота выходной; воскресенье выходной";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.400071";"55.651883";"84269322";
85;"ГБУЗ ГП № 212 филиал № 3 ДЗМ";"Западный административный округ";"район Ново-Переделкино";"119633";"Новоорловская улица, дом 4";"Свиридов Алексей Васильевич";"заместитель главного врача";"мужской";"(495) 733-52-85";"(495) 733-54-74; (495) 733-52-85";"(495) 733-52-94";"";"действует";"";"";"";"отсутствуют";"оказываются в рамках территориальной программы государственных гарантий бесплатного оказания медицинской помощи";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-18:00; воскресенье 09:00-16:00";"";"Амбулаторно-поликлиническая помощь";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"";"37.36483";"55.638336";"84269323";
