ROWNUM;FullName;ShortName;AdmArea;District;PostalCode;Address;ChiefName;ChiefPosition;ChiefGender;ChiefPhone;PublicPhone;Fax;Email;CloseFlag;CloseReason;CloseDate;ReopenDate;WorkingHours;ClarificationOfWorkingHours;Specialization;BeneficialDrugPrescriptions;ExtraInfo;POINT_X;POINT_Y;GLOBALID;
30;"Государственное казенное учреждение здравоохранения города Москвы «Структурное подразделение филиала Московского городского научно-практического центра борьбы с туберкулезом по Юго-западному административному округу Департамента здравоохранения города Москвы»";"ГКУЗ СП филиала по ЮЗАО МНПЦ БТ ДЗМ";"Юго-Западный административный округ";"Обручевский район";"117630";"улица Новаторов, дом 17";"Тимофеева Елена Александровна";"заведующий филиалом";"женский";"(495) 935-14-59";"(499) 268-22-50";"";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"противотуберкулёзный";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.524681";"55.659556";"85130989";
31;"Государственное казенное учреждение здравоохранения города Москвы «Филиал Московского городского научно-практического центра борьбы с туберкулезом по Северному административному округу Московского городского научно-практического центра борьбы с туберкулёзом Департамента здравоохранения города Москвы»";"ГКУЗ филиал по САО МНПЦ БТ ДЗМ";"Северный административный округ";"район Коптево";"125438";"Михалковская улица, дом 65, корпус 1";"Чарова Елена Николаевна";"заведующий филиалом";"женский";"(495) 450-48-06";"(495) 450-49-00; (495) 450-59-81";"(495) 450-48-06";"info@ptd16.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"противотуберкулёзный";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: м. Водный стадион, автобус № 123 до остановки ""Диспансер"", м. Войковская, автобус № 90 до остановки ""Диспансер "", м. Петровско-Разумовская, автобус № 123 до остановки «Диспансер».";"37.510112";"55.837013";"85130990";
32;"Государственное казенное учреждение здравоохранения города Москвы «Филиал Московского городского научно-практического центра борьбы с туберкулезом по Восточному административному округу Департамента здравоохранения города Москвы»";"ГКУЗ филиал по ВАО МНПЦ БТ ДЗМ";"Восточный административный округ";"район Измайлово";"105425";"Сиреневый бульвар, дом 6Б";"Левченко Марина Владимировна";"заведующий филиалом";"женский";"(499) 164-37-55";"(499) 164-37-55";"(499) 164-37-55";"info@ptd17.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"противотуберкулёзный";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: ст. м. «Измайловская», авт., маршрутка 34 до остановки «Школа».";"37.776261";"55.801957";"85130991";
33;"Государственное казенное учреждение здравоохранения города Москвы «Филиал Московского городского научно-практического центра борьбы с туберкулезом по Северо-Восточному административному округу Департамента здравоохранения города Москвы»";"ГКУЗ филиал по СВАО МНПЦ БТ ДЗМ";"Северо-Восточный административный округ";"район Ростокино";"127254";"улица Докукина, дом 18";"Дитятков Александр Елизарович";"заведующий филиалом";"мужской";"(499) 187-16-49";"(499) 187-78-72";"(499) 187-96-90";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"противотуберкулёзный";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.648163";"55.842725";"85130992";
34;"Государственное казенное учреждение здравоохранения города Москвы «Структурное подразделение филиала Московского городского научно-практического центра борьбы с туберкулезом по Восточному административному округу Департамента здравоохранения города Москвы»";"ГКУЗ СП филиала по ВАО МНПЦ БТ ДЗМ";"Восточный административный округ";"район Перово";"111399";"улица Металлургов, дом 37";"Левченко Марина Владимировна";"заведующий филиалом";"женский";"(495) 304-02-02";"(495) 304-98-54";"(495) 304-02-02";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота выходной; воскресенье выходной";"";"противотуберкулёзный";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.799361";"55.761258";"85130994";
35;"Государственное бюджетное учреждение здравоохранения города Москвы «Онкологический клинический диспансер № 1 Департамента здравоохранения города Москвы»";"ГБУЗ ОКД № 1 ДЗМ";"Центральный административный округ";"Басманный район";"105005";"Бауманская улица, дом 17/1";"Сдвижков Александр Михайлович";"главный врач";"мужской";"(499) 261-92-60";"(499) 261-90-04";"(499) 267-57-73";"info@okd1.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"онкологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: от ст. м. «Бауманская» - при выходе из метро направо, 5 минут пешком. От ст. м. «Красносельская» - трам. № 37, 45, 50 – 3 ост. в сторону ст.м. Бауманская» до ост. «Бакунинская улица», далее 2 мин. пешком.";"37.678539";"55.775561";"85131004";
36;"Государственное бюджетное учреждение здравоохранения города Москвы «Онкологический диспансер № 2 филиал Городской онкологической больницы № 62 Департамента здравоохранения города Москвы»";"ГБУЗ ОД № 2 филиал ГОБ № 62 ДЗМ";"Северный административный округ";"Войковский район";"125130";"Старопетровский проезд, дом 6";"Радлевич Вадим Валерианович";"заведующий филиалом";"мужской";"(499) 150-15-19";"(495) 666-30-12";"(495) 666-30-15";"info@od2.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 08:00-16:00; воскресенье выходной";"";"онкологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: м. Войковская (выход к к/т «Варшава»), авт. № 90, 114 (1 остановка).";"37.503359";"55.823327";"85131005";
37;"Государственное бюджетное учреждение здравоохранения города Москвы «Онкологический диспансер № 4 Департамента здравоохранения города Москвы»";"ГБУЗ ОД № 4 ДЗМ";"Южный административный округ";"район Царицыно";"115304";"улица Медиков, дом 7";"Самышина Елена Александровна";"исполняющий обязанности главного врача";"женский";"(495) 655-65-87";"(499) 323-38-77; (495) 655-65-77";"(499) 323-38-59";"info@od4.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"онкологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд: м. ""Кантемировская"", авт. 220, остановка «Почта».";"37.678457";"55.633958";"85131006";
38;"Государственное бюджетное учреждение здравоохранения города Москвы «Онкологический диспансер № 5 Департамента здравоохранения города Москвы»";"ГБУЗ ОД № 5 ДЗМ";"Юго-Восточный административный округ";"район Марьино";"109451";"Перервинский бульвар, дом 5, корпус 1";"Бартош Людмила Кузьминична";"главный врач";"женский";"(495) 654-96-79";"(495) 654-96-77";"(495) 654-94-28";"info@od5.mosgorzdrav.ru";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"онкологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"Проезд м. Братиславская далее авт. 853,81, 112 до остановки Перервинский бульвар.";"37.765188";"55.662879";"85131007";
39;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр дерматовенерологии и косметологии Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК ДЗМ";"Южный административный округ";"Донской район";"119071";"Ленинский проспект, дом 17";"Пташинский Роман Иванович";"директор";"мужской";"(495) 954-75-59";"(499) 978-64-58";"(495) 952-34-43";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.599011";"55.719888";"87755779";
40;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский центр дерматовенерологии и косметологии филиал Таганский Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Таганский ДЗМ";"Центральный административный округ";"Таганский район";"109147";"Воронцовская улица, дом 5Б";"Бешуле Вирсавия Анатольевна";"исполняющий обязанности заведующего филиалом";"женский";"(495) 912-30-70";"(495) 911-36-40";"(495) 912-48-00";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.655578";"55.740461";"87755780";
41;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр дерматовенерологии и косметологии филиал Центральный Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Центральный ДЗМ";"Центральный административный округ";"Тверской район";"127473";"Селезнёвская улица, дом 20";"Жукова Ольга Валентиновна";"заведующий филиалом";"женский";"(499) 973-54-17";"(499) 978-05-36";"(499) 973-36-50";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.606319";"55.780352";"87755781";
42;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр дерматовенерологии и косметологии филиал Тимирязевский Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Тимирязевский ДЗМ";"Северный административный округ";"район Коптево";"125008";"Новопетровская улица, дом 20";"Полякова Анжелика Александровна";"заместитель главного врача";"женский";"(499) 154-32-44";"(499) 153-04-48; (499) 153-67-02";"(499) 154-32-44";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.527365";"55.82822";"87755782";
43;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр дерматовенерологии и косметологии Центр медицинских осмотров Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК центр медицинских осмотров ДЗМ";"Северный административный округ";"Головинский район";"125413";"Солнечногорская улица, дом 5, корпус 1";"Рассовская Нина Ефремовна";"заместитель главного врача";"женский";"(495) 453-53-12; (495) 453-84-52";"(495) 453-53-12";"(495) 453-53-12";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.515798";"55.858065";"87755783";
44;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр дерматовенерологии и косметологии филиал Останкинский Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Останкинский ДЗМ";"Северо-Восточный административный округ";"Алексеевский район";"129085";"проспект Мира, дом 103";"Солнцев Виктор Викторович";"заместитель главного врача";"мужской";"(495) 615-82-53";"(495) 615-82-53";"(495) 615-82-53";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.636779";"55.812689";"87755784";
45;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский центр дерматовенерологии и косметологии филиал Савеловский Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Савеловский ДЗМ";"Северо-Восточный административный округ";"район Марьина Роща";"127018";"улица Сущёвский Вал, дом 13, строение 1";"Сунятуллина Нэля Ринатовна";"заместитель главного врача";"женский";"(499) 972-02-00; (499) 972-48-32";"(499) 972-03-00";"(499) 972-44-46";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.594655";"55.793064";"87755785";
46;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр дерматовенерологии и косметологии филиал Бабушкинский Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Бабушкинский ДЗМ";"Северо-Восточный административный округ";"район Ростокино";"129226";"Сельскохозяйственная улица, дом 16, корпус 2";"Гилядов Альберт Данилович";"заместитель главного врача";"мужской";"(499) 181-36-42";"(499) 181-37-34";"(499) 181-36-42";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.644943";"55.836516";"87755786";
47;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр дерматовенерологии и косметологии филиал Вешняковский Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Вешняковский ДЗМ";"Восточный административный округ";"район Вешняки";"111538";"Косинская улица, дом 3";"Померанцев Олег Николаевич";"заместитель главного врача";"мужской";"(495) 770-09-51";"(495) 770-09-50";"(495) 770-09-51";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.836101";"55.728208";"87755787";
48;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр дерматовенерологии и косметологии филиал Первомайский Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Первомайский ДЗМ";"Восточный административный округ";"район Измайлово";"105037";"2-я Прядильная улица, дом 6";"Шульгина Инна Геннадьевна";"заместитель главного врача";"женский";"(499) 165-72-83";"(499) 165-70-81";"(499) 165-72-83";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.778176";"55.795347";"87755788";
49;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский центр дерматовенерологии и косметологии филиал Щелковский Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Щелковский ДЗМ";"Восточный административный округ";"район Гольяново";"107241";"Амурская улица, дом 25, корпус 1";"Медведева Олеся Владимировна";"заместитель главного врача";"женский";"(495) 462-18-16";"(495) 462-18-14";"(495) 462-18-14";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.792239";"55.81356";"87755789";
50;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский центр дерматовенерологии и косметологии филиал Пролетарский Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Пролетарский ДЗМ";"Юго-Восточный административный округ";"Южнопортовый район";"109044";"улица Мельникова, дом 22";"Короткий Владимир Николаевич";"заместитель главного врача";"мужской";"(495) 674-07-69";"(495) 674-36-24; (495) 674-07-69";"(495) 674-36-24";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.666266";"55.725848";"87755790";
51;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр дерматовенерологии и косметологии филиал Люблинский Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Люблинский ДЗМ";"Юго-Восточный административный округ";"район Люблино";"109386";"Таганрогская улица, дом 23";"Ильин Леонид Александрович";"заместитель главного врача";"мужской";"(495) 359-01-47";"(495) 359-45-65";"(495) 359-45-65; (495) 359-01-47";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.75634";"55.676806";"87755791";
52;"Государственное бюджетное учреждение здравоохранения города Москвы «Центр профилактической дерматологии филиал Московского центра дерматовенерологии и косметологии Департамента здравоохранения города Москвы»";"ГБУЗ ЦПД филиал МНПЦДК ДЗМ";"Южный административный округ";"Донской район";"115419";"улица Шаболовка, дом 46, корпус 2";"Маджид Хишмит Хамид";"заведующий филиалом";"мужской";"(495) 952-27-94";"(495) 954-39-87";"(495) 952-27-94";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.605716";"55.714448";"87755792";
53;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр дерматовенерологии и косметологии филиал Варшавский Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Варшавский ДЗМ";"Южный административный округ";"Нагорный район";"117556";"Варшавское шоссе, дом 85, корпус 1";"Гусева Софья Давыдовна";"заместитель главного врача";"женский";"(499) 619-68-63";"(499) 794-30-59";"(499) 610-56-63";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.620395";"55.654517";"87755793";
54;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский центр дерматовенерологии и косметологии филиал Бирюлевский Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Бирюлевский ДЗМ";"Южный административный округ";"район Бирюлёво Восточное";"115404";"Элеваторная улица, дом 8, корпус 4";"Кладова Анна Юрьевна";"заместитель главного врача";"женский";"(495) 326-54-01";"(495) 326-64-01";"(495) 326-51-44";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.658769";"55.599689";"87755794";
55;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр дерматовенерологии и косметологии филиал Черемушкинский Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Черемушкинский ДЗМ";"Юго-Западный административный округ";"район Черёмушки";"117461";"улица Каховка, дом 37, корпус 2";"Баскакова Инесса Рудольфовна";"заместитель главного врача";"женский";"(499) 744-50-01";"(499) 744-68-63; (499) 744-05-52";"(499) 744-57-02";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.563411";"55.657834";"87755795";
56;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский центр дерматовенерологии и косметологии филиал Севастопольский Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Севастопольский ДЗМ";"Юго-Западный административный округ";"Академический район";"117442";"Новочерёмушкинская улица, дом 15/29";"Косталевская Анна Валерьевна";"заместитель главного врача";"женский";"(499) 129-51-27";"(499) 129-51-63";"(499) 129-51-27";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.58337";"55.68482";"87755796";
57;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский центр дерматовенерологии и косметологии филиал Кутузовский Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Кутузовский ДЗМ";"Западный административный округ";"район Дорогомилово";"121170";"Кутузовский проспект, дом 41";"Каирова Алла Наримановна";"исполняющий обязанности заведующего филиалом";"женский";"(499) 249-74-02";"(499) 249-25-55";"(499) 249-19-04";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.531293";"55.738709";"87755797";
58;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский центр дерматовенерологии и косметологии филиал Крылатский Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Крылатский ДЗМ";"Западный административный округ";"район Крылатское";"121614";"улица Крылатские Холмы, дом 30, корпус 2";"Абесадзе Георгий Анзорович";"заместитель главного врача";"мужской";"(495) 415-00-70";"(495) 415-00-40";"(495) 415-00-70";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.412883";"55.765759";"87755798";
59;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр дерматовенерологии и косметологии филиал Раменский Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Раменский ДЗМ";"Западный административный округ";"район Раменки";"119285";"Мосфильмовская улица, дом 6";"Пивень Николай Петрович";"заместитель главного врача";"мужской";"(499) 147-01-32";"(499) 147-20-60";"(499) 147-01-32";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.52991";"55.724522";"87755799";
60;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр дерматовенерологии и косметологии филиал Солнцевский Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Солнцевский ДЗМ";"Западный административный округ";"район Солнцево";"119620";"Солнцевский проспект, дом 17, корпус 1";"Демина Ольга Николаевна";"заместитель главного врача";"женский";"(495) 934-22-09";"(495) 934-22-07";"(495) 934-22-09";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.409018";"55.648094";"87755800";
61;"Государственное бюджетное учреждение здравоохранения города Москвы «Московский научно-практический центр дерматовенерологии и косметологии филиал Хорошевский Департамента здравоохранения города Москвы»";"ГБУЗ МНПЦДК филиал Хорошевский ДЗМ";"Северо-Западный административный округ";"район Щукино";"123060";"улица Маршала Мерецкова, дом 1";"Соболь Аркадий Аркадьевич";"заместитель главного врача";"мужской";"(499) 194-18-91";"(499) 194-70-24";"(499) 194-70-24";"";"действует";"";"";"";"понедельник 08:00-20:00; вторник 08:00-20:00; среда 08:00-20:00; четверг 08:00-20:00; пятница 08:00-20:00; суббота 09:00-16:00; воскресенье выходной";"";"кожно-венерологический";"на основании перечня лекарственных средств и изделий медицинского назначения для бесплатного и льготного обеспечения населения в рамках гарантированного объема бесплатной медицинской помощи на амбулаторном уровне";"";"37.490573";"55.792985";"87755801";
