ROWNUM;CommonName;FullName;ShortName;ChiefOrgAdmArea;District;Address;ChiefName;ChiefPosition;PublicPhone;Fax;Email;WorkingHours;ClarificationOfWorkingHours;WebSite;OKPO;INN;NumberOfHalls;TotalSeatsAmount;X_WGS;Y_WGS;GLOBALID;
90;Кинотеатр;Формула Кино на Мичуринском;;;Западный административный округ;район Тропарёво-Никулино;Мичуринский пр-т, Олимпийская деревня, д.3, корп. 1;;;(495) 795 37 95;;info@formulakino.ru;;;formulakino.ru;;-1;-1;-1;37.46707;55.677894;85988615;
91;Кинотеатр;Кинотеатр под открытым небом;;;Центральный административный округ;Пресненский район;ул. Мантулинская, д.5, стр. 2;;;;;info@formulakino.ru;;;formulakino.ru;;-1;-1;-1;37.55018;55.75561;85988616;
92;Кинотеатр;Формула Кино Горизонт;;;Центральный административный округ;район Хамовники;Комсомольский пр-т, д.21/10;;;(495) 795 37 95;;info@formulakino.ru;;;formulakino.ru;;-1;-1;-1;37.584754;55.728055;85988617;
93;Кинотеатр;Радуга кино;;;Южный административный округ;Даниловский район;пр-т Андропова, д.8;;;(495) 663 36 64, (905) 599 61 21;;;;;radygakino.ru;;-1;-1;-1;37.665047;55.695901;85988618;
94;Кинотеатр;Синема Парк на Октябрьском Поле;;;Северо-Западный административный округ;район Щукино;ул. Маршала Бирюзова, д.32;;;(495) 644 41 11;;info@cinemapark.ru;;;cinemapark.ru;;-1;-1;-1;37.482945;55.799784;85988619;
95;Кинотеатр;Синема Парк на Калужской;;;Юго-Западный административный округ;район Черёмушки;ул. Профсоюзная, д.61а;;;(495) 644 41 11;;info@cinemapark.ru;;;cinemapark.ru;;-1;-1;-1;37.542268;55.655751;85988620;
96;Кинотеатр;Формула Кино Стрела;;;Центральный административный округ;район Хамовники;Смоленская-Сенная пл., д.23/25;;;(495) 795 37 95;;info@formulakino.ru;;;formulakino.ru;;-1;-1;-1;37.582731;55.744139;85988621;
97;Кинотеатр;Ролан;;;Центральный административный округ;Басманный район;Чистопрудный б-р, д.12а;;;(495) 916 91 69, 916 94 12;;;;;rolan.ru;;-1;-1;-1;37.643829;55.760473;85988622;
98;Кинотеатр;Каро Фильм Щука;;;Северо-Западный административный округ;район Щукино;ул. Щукинская, д.42;;;(495) 545 05 05;;info@karofilm.ru;;;karofilm.ru;;-1;-1;-1;37.464658;55.809502;85988623;
99;Кинотеатр;Kinostar New York;;;Юго-Восточный административный округ;район Капотня;14-й км МКАД, ТЦ «Мега Белая Дача»;;;(495) 662 16 06, 644 41 11;;info@cinemapark.ru;;;cinemapark.ru;;-1;-1;-1;37.845239;55.653963;85988624;
100;Кинотеатр;Солярис;;;Юго-Восточный административный округ;район Марьино;ул. Перерва, д.43, корп. 1;;;(499) 929 89 86, 929 89 87;;;;;kinomax.ru;;-1;-1;-1;37.74967;55.659662;85988625;
101;Кинотеатр;5 звезд на Павелецкой;;;Центральный административный округ;район Замоскворечье;ул. Бахрушина, д.25;;;(495) 916 91 73, 916 91 69;;secretar@paradisegroup.ru;;;5zvezd.ru;;-1;-1;-1;37.637421;55.732975;85988626;
102;Кинотеатр;Люксор (Балашиха);;;Значения отсутствуют в справочнике;Значения отсутствуют в справочнике;МО, г.Балашиха, пр-т Ленина, д.25;;;(495) 604 42 04, 926 03 50;;;;;luxorfilm.ru;;-1;-1;-1;37.877808;55.785717;85988627;
103;Кинотеатр;Каро Фильм Октябрь;;;Центральный административный округ;район Арбат;ул. Новый Арбат, д.24;;;(495) 545 05 05;;info@karofilm.ru;;;karofilm.rutheatres/5;;-1;-1;-1;37.587634;55.753087;85988628;
104;Кинотеатр;Светофор (Люберцы);;;Значения отсутствуют в справочнике;Значения отсутствуют в справочнике;МО, г.Люберцы, ул. Побратимов, д.7;;;(498) 602 82 70;;;;;k-format.ru;;-1;-1;-1;37.897584;55.691717;85988629;
105;Кинотеатр;Фитиль;;;Центральный административный округ;район Хамовники;Фрунзенская наб., д.12;;;(495) 287 02 11;;;;;fitil-club.ru;;-1;-1;-1;37.594095;55.732077;85988630;
106;Кинотеатр;Drive VV;;;Южный административный округ;район Зябликово;Ореховый б-р, д.22а;;;(916) 966 53 89;;;;;vashdosug.rumsk/cinema/place/50320/;;-1;-1;-1;37.732685;55.612047;85988631;
107;Кинотеатр;Байконур;;;Северо-Восточный административный округ;район Отрадное;ул. Декабристов, д.17;;;(499) 204 51 19, 204 53 14;;;;;maxikarta.rumsk/bajkonur/74272;;-1;-1;-1;37.605066;55.864883;85988632;
108;Кинотеатр;5D Стерео;;;Северо-Восточный административный округ;Останкинский район;пр-т Мира, д.119 стр.541, ВВЦ, пав.9;;;(495) 729 26 52, 720 00 55;;;;;3dhd.ru;;-1;-1;-1;37.629865;55.827091;85988633;
109;Кинотеатр;Романов Синема;;;Центральный административный округ;район Арбат;Романов пер., д.4;;;(495) 609 64 54;;administrator@romanov-cinema.ru;;;romanov-cinema.ru;;-1;-1;-1;37.609019;55.754701;85988634;
110;Кинотеатр;Киносфера;;;Северный административный округ;район Левобережный;ул. Правобережная, д.1б;;;(495) 775 77 79;;;;;kinosfera.ru;;-1;-1;-1;37.449702;55.880914;85988635;
111;Кинотеатр;Азовский;;;Юго-Западный административный округ;район Зюзино;ул. Азовская, д.24, стр. 3;;;(495) 735 40 13;;;;;kino-a8.ru;;-1;-1;-1;37.596623;55.646929;85988636;
112;Кинотеатр;Каро Фильм Электрон;;;Зеленоградский административный округ;район Матушкино;г.Зеленоград, пл. Юности, д.1;;;(495) 545 05 05;;info@karofilm.ru;;;karofilm.ru;;-1;-1;-1;37.209777;56.002725;85988637;
113;Кинотеатр;Байкал-Атлантис;;;Северный административный округ;район Коптево;ул. Михалковская, д.4;;;(495) 708 80 15, 708 80 47;;info@baykal-atlantis.ru;;;baykal-atlantis.ru;;-1;-1;-1;37.538127;55.837417;85988638;
114;Кинотеатр;Формула Кино Витязь;;;Юго-Западный административный округ;район Коньково;ул. Миклухо-Маклая, д.27а;;;(495) 795 37 95;;info@formulakino.ru;;;formulakino.ru;;-1;-1;-1;37.516868;55.647405;85988639;
115;Кинотеатр;Каро Фильм Теплый Стан;;;Юго-Западный административный округ;район Ясенево;Новоясеневский пр-т, д.1;;;(495) 545 05 05;;info@karofilm.ru;;;karofilm.ru;;-1;-1;-1;37.509204;55.619485;85988640;
116;Кинотеатр;Каро Фильм Алтуфьево;;;Северо-Восточный административный округ;район Бибирево;Алтуфьевское ш., д.70 корп. 1;;;(495) 545 05 05;;info@karofilm.ru;;;karofilm.ru;;-1;-1;-1;37.588649;55.888227;85988641;
117;Кинотеатр;Каро Фильм Киргизия;;;Восточный административный округ;район Новогиреево;Зеленый пр-т, д.81;;;(495) 545 05 05;;info@karofilm.ru;;;karofilm.ru;;-1;-1;-1;37.820257;55.751804;85988642;
118;Кинотеатр;5D-Визион;;;Северный административный округ;Войковский район;пл. Ганецкого, д.1;;;(495) 509 51 85;;;;;kino-4d.ru;;-1;-1;-1;37.500471;55.820153;85988643;
119;Кинотеатр;Кино на заводе N;;;Восточный административный округ;район Преображенское;ул. Электрозаводская, д.21;;;(903) 218 91 56;;;;;moscow.vibirai.ru146956/;;-1;-1;-1;37.703875;55.787406;85988644;
120;Кинотеатр;Кронверк Синема Лефортово;;;Юго-Восточный административный округ;район Лефортово;ш. Энтузиастов, д.12/2;;;(495) 961 02 61;;info@kronverkcinema.ru;;;kronverkcinema.ru;;-1;-1;-1;37.706746;55.747805;85988645;
121;Кинотеатр;Формула Кино Ладога;;;Северо-Восточный административный округ;район Северное Медведково;ул. Широкая, д.12;;;(495) 795 37 95;;info@formulakino.ru;;;formulakino.ru;;-1;-1;-1;37.659448;55.886654;85988646;
122;Кинотеатр;Каро Фильм Южное Бутово;;;Юго-Западный административный округ;район Южное Бутово;ул. Веневская, д.6;;;(495) 545 05 05;;info@karofilm.ru;;;karofilm.ru;;-1;-1;-1;37.543037;55.547841;85988647;
123;Кинотеатр;Каро Фильм на Каширке;;;Южный административный округ;район Орехово-Борисово Северное;Каширское ш., д.61, корп. 2;;;(495) 545 05 05;;info@karofilm.ru;;;karofilm.ru;;-1;-1;-1;37.713808;55.621628;85988648;
124;Кинотеатр;Каро Фильм Звездный;;;Западный административный округ;район Проспект Вернадского;пр-т Вернадского, д.14;;;(495) 545 05 05;;info@karofilm.ru;;;karofilm.ru;;-1;-1;-1;37.504745;55.676905;85988649;
125;Кинотеатр;Синема Стар Рио;;;Юго-Западный административный округ;район Котловка;ул. Большая Черемушкинская, д.1;;;(495) 980 44 15;;;;;cinemastar.ru;;-1;-1;-1;37.602033;55.68967;85988650;
126;Кинотеатр;Каро Фильм на Шереметьевской;;;Северо-Восточный административный округ;район Марьина Роща;ул. Шереметьевская, д.20;;;(495) 545 05 05;;info@karofilm.ru;;;karofilm.ru;;-1;-1;-1;37.618556;55.803409;85988651;
127;Кинотеатр;Каро Фильм на Севастопольском;;;Юго-Западный административный округ;район Котловка;Севастопольский пр-т, д.11е;;;(495) 545 05 05;;info@karofilm.ru;;;karofilm.ru;;-1;-1;-1;37.604033;55.687325;85988652;
128;Кинотеатр;Формула Кино Прага;;;Северный административный округ;Савёловский район;ул. Нижняя Масловка, д.10;;;(495) 795 37 95;;info@formulakino.ru;;;formulakino.ru;;-1;-1;-1;37.577978;55.792731;85988653;
129;Кинотеатр;Киноклуб Востокино;;;Центральный административный округ;Пресненский район;Никитский б-р, д.12а;;;(495) 691 49 66;;;;;kino-teatr.ru;;-1;-1;-1;37.599795;55.756438;85988654;
130;Кинотеатр;Киноклуб Мастер-клас;;;Центральный административный округ;Басманный район;Лубянский пр-д, д.3/6 стр.4;;;;;info@artkinoclub.ru;;;artkinoclub.ru;;-1;-1;-1;37.629728;55.759508;85988655;
131;Кинотеатр;Drive VV;;;Юго-Восточный административный округ;район Марьино;ул. Люблинская, д.153;;;(916) 944 67 95;;;;;vashdosug.rumsk/cinema/place/50321/;;-1;-1;-1;37.741844;55.658755;85988656;
132;Кинотеатр;Центрфильм на Щелковской;;;Восточный административный округ;район Северное Измайлово;Щелковское ш., д.100;;;(495) 589 19 19, (499) 684 00 24, (499) 684 00 25;;info@centerfilm.ru;;;centerfilm.ru;;-1;-1;-1;37.833974;55.812063;85988657;
133;Кинотеатр;Соловей;;;Центральный административный округ;Пресненский район;ул. Дружинниковская, д.15;;;(499) 255 96 92, 255 92 37, (495) 605 73 06;;info@kinocenter.ru;;;kinocenter.ru;;-1;-1;-1;37.574868;55.759716;85988658;
134;Кинотеатр;Час кино Алтуфьево;;;Северо-Восточный административный округ;район Бибирево;87-й км МКАД, д.8, ТК «Час пик»;;;(495) 580 22 25;;;;;tk-chaspik.rukinoteatr.aspx;;-1;-1;-1;37.629397;55.898612;85988659;
135;Кинотеатр;Синема Стар Ереван плаза;;;Южный административный округ;Даниловский район;ул. Большая Тульская, д.13;;;(495) 980 44 15, 514 24 20;;pr@erevanplaza.ru;;;erevanplaza.ru;;-1;-1;-1;37.622081;55.708696;85988660;
136;Кинотеатр;Алмаз Синема Ленинград;;;Северный административный округ;район Сокол;ул. Новопесчаная, д.12;;;(495) 221 52 21, (499) 157 75 52;;info@almazcinema.ru;;;almazcinema.ru;;-1;-1;-1;37.513332;55.798824;85988661;
137;Кинотеатр;Синема Стар Рио на Дмитровском шоссе;;;Северо-Восточный административный округ;район Северный;Дмитровское ш., д.163а, корп. 1;;;(495) 980 44 15, 988 03 77;;;;;cinemastar.ru;;-1;-1;-1;37.540235;55.909467;85988662;
138;Кинотеатр;Территория 5D;;;Центральный административный округ;Тверской район;Манежная пл., д.1, стр. 2;;;(495) 764 12 76;;;;;5-d.ru;;-1;-1;-1;37.614578;55.755666;85988663;
139;Кинотеатр;Бульвар;;;Юго-Западный административный округ;район Северное Бутово;б-р Дмитрия Донского, д.1;;;(495) 647 49 49;;;;;kinobulvar.info;;-1;-1;-1;37.580165;55.574929;85988664;
140;Кинотеатр;Бумеранг на Варшавской;;;Южный административный округ;Нагорный район;Варшавское ш., д.87б;;;(495) 221 50 67, 221 50 68;;;;;;;-1;-1;-1;37.620678;55.653656;85988665;
141;Кинотеатр;Алмаз Синема Алмаз;;;Южный административный округ;Донской район;ул. Шаболовка, д.56;;;(495) 221 52 21, 954 10 02;;info@almazcinema.ru;;;almazcinema.ru;;-1;-1;-1;37.605846;55.712211;85988666;
142;Кинотеатр;Каро Фильм Баррикады;;;Центральный административный округ;Пресненский район;ул. Баррикадная, д.21/34, стр. 3;;;(495) 545 05 05;;info@karofilm.ru;;;karofilm.ru;;-1;-1;-1;37.579321;55.760482;85988667;
143;Кинотеатр;Алмаз Синема Солнцево;;;Западный административный округ;район Солнцево;ул. Богданова, д.19;;;(495) 221 52 21, 439 52 00;;info@almazcinema.ru;;;almazcinema.ru;;-1;-1;-1;37.393299;55.652741;85988668;
144;Кинотеатр;Nescafe IMAX;;;Северный административный округ;район Левобережный;ул. Правобережная, д.1б;;;(495) 775 77 79;;;;;nescafe-imaxcinema.ru;;-1;-1;-1;37.449702;55.880914;85988669;
145;Кинотеатр;Киноклуб Документальная среда;;;Центральный административный округ;Тверской район;ул. Каретный Ряд, д.5/10;;;;;;;;;;-1;-1;-1;37.60841;55.772709;85988670;
146;Кинотеатр;Сезон Синема на Пражской;;;Южный административный округ;район Чертаново Центральное;ул. Красного Маяка, д.2б;;;(495) 721 82 80, 721 36 34, 943 60 68;;;;;sezonkino.ru;;-1;-1;-1;37.606842;55.611056;85988671;
147;Кинотеатр;Kinostar De Lux (Химки);;;Значения отсутствуют в справочнике;Значения отсутствуют в справочнике;МО, г.Химки, ул. Ленинградская, вл.39 стр.5;;;(495) 775 44 77, 981 37 89;;feedback@cinemapark.ru.;;;cinemapark.ru;;-1;-1;-1;37.41221;55.909497;85988672;
148;Кинотеатр;Дом кино;;;Центральный административный округ;Пресненский район;ул. Васильевская, д.13;;;(499) 251 40 65, 254 48 34;;press-domkinospb@mail.ru;;;domkino.spb.ru;;-1;-1;-1;37.588018;55.771913;85988673;
149;Кинотеатр;Синема Парк De Lux Метрополис;;;Северный административный округ;Войковский район;Ленинградское ш., д.16а стр.4;;;(495) 789 96 85, 644 41 11;;feedback@cinemapark.ru.;;;cinemapark.ru;;-1;-1;-1;37.497646;55.823265;85988674;
150;Кинотеатр;Формула Кино Европа;;;Западный административный округ;район Дорогомилово;пл. Киевского Вокзала, д.2;;;(495) 795 37 95;;info@formulakino.ru;;;formulakino.ru;;-1;-1;-1;37.56598;55.744565;85988675;
151;Кинотеатр;4D Cinema на Люблинской;;;Юго-Восточный административный округ;район Марьино;ул. Люблинская, д.100;;;(916) 458 36 70;;;;;4dstereo.com;;-1;-1;-1;37.739074;55.654648;85988676;
152;Кинотеатр;Люксор в Ясенево;;;Юго-Западный административный округ;район Ясенево;Новоясеневский пр-т, д.11;;;(495) 641 33 06, 641 33 07;;;;;luxorfilm.ru;;-1;-1;-1;37.536282;55.606718;85988677;
153;Кинотеатр;Формула Кино София;;;Восточный административный округ;район Северное Измайлово;Сиреневый б-р, д.31;;;(495) 795 37 95;;info@formulakino.ru;;;formulakino.ru;;-1;-1;-1;37.800638;55.803822;85988678;
154;Кинотеатр;Каро Фильм Атриум;;;Центральный административный округ;Басманный район;Земляной Вал, д.33;;;(495) 545 05 05;;info@karofilm.ru;;;karofilm.ru;;-1;-1;-1;37.658935;55.757303;85988679;
155;Кинотеатр;Энтузиаст. Большой зал;;;Восточный административный округ;район Вешняки;ул. Вешняковская, д.16а;;;(499) 373 50 01, 373 50 10;;entyziastkino@mail.ru;;;cinemalend.ru;;-1;-1;-1;37.826284;55.724701;85988680;
156;Кинотеатр;Киномакс XL;;;Северный административный округ;район Западное Дегунино;Дмитровское ш., д.89;;;(495) 221 52 21, 721 25 92;;;;;kinomax.ruxl;;-1;-1;-1;37.545604;55.863767;85988681;
157;Кинотеатр;Люксор Центр;;;Северо-Восточный административный округ;район Свиблово;пр-т Мира, д.211;;;(495) 665 13 53;;;;;luxorfilm.ru;;-1;-1;-1;37.66127;55.845594;85988682;
158;Кинотеатр;5 звезд Бирюлево;;;Южный административный округ;район Бирюлёво Восточное;ул. Бирюлевская, д.17;;;(495) 916 91 69, 326 54 82;;secretar@paradisegroup.ru;;;5zvezd.ru;;-1;-1;-1;37.664086;55.595541;85988683;
159;Кинотеатр;Люксор в Митино;;;Северо-Западный административный округ;район Митино;ул. Дубравная, влад. 34/29;;;(495) 641 33 04, 641 33 05, 641 33 05;;;;;luxorfilm.ru;;-1;-1;-1;37.358145;55.846265;85988684;
160;Кинотеатр;Кинотеатр им. Моссовета;;;Восточный административный округ;район Преображенское;Преображенская пл., д.12;;;(495) 963 03 32, 963 03 20;;;;;mossovet.com;;-1;-1;-1;37.713687;55.794318;85988685;
161;Кинотеатр;ООО«КИНОМИР»;;;Центральный административный округ;Тверской район;Настасьинский пер., д.2;;;(495) 699-27-00;;;;;kinomax.ru;;-1;-1;-1;37.603327;55.766434;85988721;
162;Кинотеатр;Киноцентр на Красной Пресне;;;Центральный административный округ;Пресненский район;ул. Дружинниковская, д. 15;;;"(499) 255- 96-92, (499) 255-92-37;";;info@kino center.ru;;;kinocenter.ru;;-1;-1;-1;37.574868;55.759716;85988722;
